Period\Unit:,[Percent per annum ]
2019-11-06,-0.278735
2019-11-07,-0.22015300000000002
2019-11-08,-0.210371
2019-11-11,-0.21234
2019-11-12,-0.197931
2019-11-13,-0.25154499999999996
2019-11-14,-0.28681799999999996
2019-11-15,-0.28718299999999997
2019-11-18,-0.290027
2019-11-19,-0.28415999999999997
2019-11-20,-0.31091199999999997
2019-11-21,-0.272656
2019-11-22,-0.297392
2019-11-25,-0.306116
2019-11-26,-0.327279
2019-11-27,-0.312407
2019-11-28,-0.310383
2019-11-29,-0.297304
2019-12-02,-0.225677
2019-12-03,-0.273688
2019-12-04,-0.279996
2019-12-05,-0.22896
2019-12-06,-0.23525100000000002
2019-12-09,-0.24903499999999998
2019-12-10,-0.23201300000000002
2019-12-11,-0.25009899999999996
2019-12-12,-0.232764
2019-12-13,-0.20929299999999998
2019-12-16,-0.23366399999999998
2019-12-17,-0.22645
2019-12-18,-0.195464
2019-12-19,-0.158831
2019-12-20,-0.17541400000000001
2019-12-23,-0.18368800000000002
2019-12-27,-0.191106
2019-12-30,-0.14161400000000002
2020-01-02,-0.173995
2020-01-03,-0.222926
2020-01-06,-0.24742600000000003
2020-01-07,-0.23213000000000003
2020-01-08,-0.20457999999999998
2020-01-09,-0.17048
2020-01-10,-0.17163499999999998
2020-01-13,-0.140672
2020-01-14,-0.158152
2020-01-15,-0.184417
2020-01-16,-0.19528099999999998
2020-01-17,-0.18766
2020-01-20,-0.196108
2020-01-21,-0.20243
2020-01-22,-0.241326
2020-01-23,-0.274776
2020-01-24,-0.289071
2020-01-27,-0.347404
2020-01-28,-0.33466
2020-01-29,-0.344815
2020-01-30,-0.363518
2020-01-31,-0.398208
2020-02-03,-0.402814
2020-02-04,-0.35581399999999996
2020-02-05,-0.32519000000000003
2020-02-06,-0.312101
2020-02-07,-0.356692
2020-02-10,-0.360952
2020-02-11,-0.358566
2020-02-12,-0.34281799999999996
2020-02-13,-0.348096
2020-02-14,-0.370508
2020-02-17,-0.364267
2020-02-18,-0.36283000000000004
2020-02-19,-0.371233
2020-02-20,-0.392499
2020-02-21,-0.41089200000000003
2020-02-24,-0.439755
2020-02-25,-0.45452700000000007
2020-02-26,-0.44964399999999993
2020-02-27,-0.5029520000000001
2020-02-28,-0.571962
2020-03-02,-0.588076
2020-03-03,-0.556071
2020-03-04,-0.58619
2020-03-05,-0.6207
2020-03-06,-0.690759
2020-03-09,-0.8152149999999999
2020-03-10,-0.7398899999999999
2020-03-11,-0.702523
2020-03-12,-0.682388
2020-03-13,-0.496485
2020-03-16,-0.392859
2020-03-17,-0.357496
2020-03-18,-0.178064
2020-03-19,-0.106926
2020-03-20,-0.248221
2020-03-23,-0.291236
2020-03-24,-0.266358
2020-03-25,-0.23836500000000002
2020-03-26,-0.26864499999999997
2020-03-27,-0.39526
2020-03-30,-0.45054799999999995
2020-03-31,-0.41422200000000003
2020-04-01,-0.379292
2020-04-02,-0.36180500000000004
2020-04-03,-0.367817
2020-04-06,-0.332669
2020-04-07,-0.248772
2020-04-08,-0.219077
2020-04-09,-0.252284
2020-04-14,-0.29885900000000004
2020-04-15,-0.375869
2020-04-16,-0.373759
2020-04-17,-0.370795
2020-04-20,-0.34684699999999996
2020-04-21,-0.370244
2020-04-22,-0.333314
2020-04-23,-0.335829
2020-04-24,-0.362594
2020-04-27,-0.355567
2020-04-28,-0.37247399999999997
2020-04-29,-0.412055
