Data Source in SDW: http://sdw.ecb.europa.eu/quickview.do;jsessionid=45EE0FF60018D9E4666CC41769222512?SERIES_KEY=165.YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y&start=02-05-2018&end=02-05-2020&submitOptions.x=0&submitOptions.y=0&trans=N
;YC.B.U2.EUR.4F.G_N_A.SV_C_YM.SR_10Y
;Euro area (changing composition) - Government bond, nominal, all issuers whose rating is triple A - Svensson model - continuous compounding - yield error minimisation - Yield curve spot rate, 10-year maturity - Euro, provided by ECB
Collection:;End of period (E)
Period\Unit:;[Percent per annum ]
2020-04-29;-0,412055
2020-04-28;-0,372474
2020-04-27;-0,355567
2020-04-24;-0,362594
2020-04-23;-0,335829
2020-04-22;-0,333314
2020-04-21;-0,370244
2020-04-20;-0,346847
2020-04-17;-0,370795
2020-04-16;-0,373759
2020-04-15;-0,375869
2020-04-14;-0,298859
2020-04-09;-0,252284
2020-04-08;-0,219077
2020-04-07;-0,248772
2020-04-06;-0,332669
2020-04-03;-0,367817
2020-04-02;-0,361805
2020-04-01;-0,379292
2020-03-31;-0,414222
2020-03-30;-0,450548
2020-03-27;-0,395260
2020-03-26;-0,268645
2020-03-25;-0,238365
2020-03-24;-0,266358
2020-03-23;-0,291236
2020-03-20;-0,248221
2020-03-19;-0,106926
2020-03-18;-0,178064
2020-03-17;-0,357496
2020-03-16;-0,392859
2020-03-13;-0,496485
2020-03-12;-0,682388
2020-03-11;-0,702523
2020-03-10;-0,739890
2020-03-09;-0,815215
2020-03-06;-0,690759
2020-03-05;-0,620700
2020-03-04;-0,586190
2020-03-03;-0,556071
2020-03-02;-0,588076
2020-02-28;-0,571962
2020-02-27;-0,502952
2020-02-26;-0,449644
2020-02-25;-0,454527
2020-02-24;-0,439755
2020-02-21;-0,410892
2020-02-20;-0,392499
2020-02-19;-0,371233
2020-02-18;-0,362830
2020-02-17;-0,364267
2020-02-14;-0,370508
2020-02-13;-0,348096
2020-02-12;-0,342818
2020-02-11;-0,358566
2020-02-10;-0,360952
2020-02-07;-0,356692
2020-02-06;-0,312101
2020-02-05;-0,325190
2020-02-04;-0,355814
2020-02-03;-0,402814
2020-01-31;-0,398208
