
Date,Year % 
2019-02-28,0.228133
2019-02-27,0.196749
2019-02-26,0.160104
2019-02-25,0.158318
2019-02-22,0.147910
2019-02-21,0.183939
2019-02-20,0.145499
2019-02-19,0.154112
2019-02-18,0.156501
2019-02-15,0.149304
2019-02-14,0.134636
2019-02-13,0.177969
2019-02-12,0.177672
2019-02-11,0.149467
2019-02-08,0.120907
2019-02-07,0.147331
2019-02-06,0.195084
2019-02-05,0.215628
2019-02-04,0.205785
2019-02-01,0.187606
2019-01-31,0.187607
2019-01-30,0.215259
2019-01-29,0.226802
2019-01-28,0.228987
2019-01-25,0.224522
2019-01-24,0.215953
2019-01-23,0.265246
2019-01-22,0.268080
2019-01-21,0.288168
2019-01-18,0.281107
2019-01-17,0.267209
2019-01-16,0.258042
2019-01-15,0.238859
2019-01-14,0.242607
2019-01-11,0.248701
2019-01-10,0.267474
2019-01-09,0.301113
2019-01-08,0.310582
2019-01-07,0.288875
2019-01-04,0.274661
2019-01-03,0.246228
2019-01-02,0.227773
2018-12-28,0.316223
2018-12-27,0.303968
2018-12-21,0.301981
2018-12-20,0.285043
2018-12-19,0.304867
2018-12-18,0.310050
2018-12-17,0.321513
2018-12-14,0.319578
2018-12-13,0.315010
2018-12-12,0.319403
2018-12-11,0.301006
2018-12-10,0.309115
2018-12-07,0.329250
2018-12-06,0.294693
2018-12-05,0.331146
2018-12-04,0.344788
2018-12-03,0.372579
2018-11-30,0.369032
2018-11-29,0.388294
2018-11-28,0.417794
2018-11-27,0.409579
2018-11-26,0.428407
2018-11-23,0.403429
2018-11-22,0.438467
2018-11-21,0.430075
2018-11-20,0.414057
2018-11-19,0.446694
2018-11-16,0.431219
2018-11-15,0.423584
2018-11-14,0.472402
2018-11-13,0.456197
2018-11-12,0.446773
2018-11-09,0.473475
2018-11-08,0.507662
2018-11-07,0.498155
2018-11-06,0.482266
2018-11-05,0.481359
2018-11-02,0.484693
2018-11-01,0.457466
2018-10-31,0.434257
2018-10-30,0.425327
2018-10-29,0.447828
2018-10-26,0.411343
2018-10-25,0.450225
2018-10-24,0.452822
2018-10-23,0.464753
2018-10-22,0.491282
2018-10-19,0.484777
2018-10-18,0.510780
2018-10-17,0.515331
2018-10-16,0.535380
2018-10-15,0.549031
2018-10-12,0.556840
2018-10-11,0.579435
2018-10-10,0.602277
2018-10-09,0.590655
2018-10-08,0.584799
2018-10-05,0.595808
2018-10-04,0.563143
2018-10-03,0.498537
2018-10-02,0.478078
2018-10-01,0.539267
2018-09-28,0.509128
2018-09-27,0.548630
2018-09-26,0.563233
2018-09-25,0.565446
2018-09-24,0.540390
2018-09-21,0.493228
2018-09-20,0.520274
2018-09-19,0.519392
2018-09-18,0.503912
2018-09-17,0.490856
2018-09-14,0.482929
2018-09-13,0.461593
2018-09-12,0.432200
2018-09-11,0.465166
2018-09-10,0.436548
2018-09-07,0.419957
2018-09-06,0.404488
2018-09-05,0.427953
2018-09-04,0.378736
2018-09-03,0.366308
2018-08-31,0.371909
2018-08-30,0.392273
2018-08-29,0.442649
2018-08-28,0.416767
2018-08-27,0.405901
2018-08-24,0.386736
2018-08-23,0.370156
2018-08-22,0.358034
2018-08-21,0.355129
2018-08-20,0.324351
2018-08-17,0.324373
2018-08-16,0.334541
2018-08-15,0.334728
2018-08-14,0.348191
2018-08-13,0.352140
2018-08-10,0.350882
2018-08-09,0.400256
2018-08-08,0.427338
2018-08-07,0.432328
2018-08-06,0.411768
2018-08-03,0.432691
2018-08-02,0.486887
2018-08-01,0.499614
2018-07-31,0.455340
2018-07-30,0.466801
2018-07-27,0.418530
2018-07-26,0.408693
2018-07-25,0.410133
2018-07-24,0.422936
2018-07-23,0.412976
2018-07-20,0.373768
2018-07-19,0.349904
2018-07-18,0.353032
2018-07-17,0.364348
2018-07-16,0.380319
2018-07-13,0.351296
2018-07-12,0.368500
2018-07-11,0.382103
2018-07-10,0.390726
2018-07-09,0.389374
2018-07-06,0.362142
2018-07-05,0.372925
2018-07-04,0.366454
2018-07-03,0.367780
2018-07-02,0.372806
2018-06-29,0.379056
2018-06-28,0.384136
2018-06-27,0.403643
2018-06-26,0.419619
