Date,Year % 
2015-01-02,0.6114109999999999
2015-01-05,0.591801
2015-01-06,0.530988
2015-01-07,0.564407
2015-01-08,0.5987100000000001
2015-01-09,0.610213
2015-01-12,0.555439
2015-01-13,0.552197
2015-01-14,0.492938
2015-01-15,0.49567700000000003
2015-01-16,0.485742
2015-01-19,0.48403900000000005
2015-01-20,0.5012989999999999
2015-01-21,0.5457350000000001
2015-01-22,0.61479
2015-01-23,0.421745
2015-01-26,0.42343400000000003
2015-01-27,0.43931800000000004
2015-01-28,0.433166
2015-01-29,0.41466099999999995
2015-01-30,0.39361999999999997
2015-02-02,0.353177
2015-02-03,0.384821
2015-02-04,0.408738
2015-02-05,0.41613199999999995
2015-02-06,0.40917600000000004
2015-02-09,0.418105
2015-02-10,0.441895
2015-02-11,0.429262
2015-02-12,0.401667
2015-02-13,0.39789
2015-02-16,0.405519
2015-02-17,0.415549
2015-02-18,0.45053000000000004
2015-02-19,0.448995
2015-02-20,0.41088199999999997
2015-02-23,0.43132600000000004
2015-02-24,0.447935
2015-02-25,0.393757
2015-02-26,0.34639699999999995
2015-02-27,0.369133
2015-03-02,0.380265
2015-03-03,0.414454
2015-03-04,0.421917
2015-03-05,0.393721
2015-03-06,0.41265100000000005
2015-03-09,0.353057
2015-03-10,0.268223
2015-03-11,0.239706
2015-03-12,0.26753499999999997
2015-03-13,0.298004
2015-03-16,0.29257
2015-03-17,0.31906100000000004
2015-03-18,0.256372
2015-03-19,0.24447199999999997
2015-03-20,0.24069899999999997
2015-03-23,0.277438
2015-03-24,0.29033200000000003
2015-03-25,0.29785500000000004
2015-03-26,0.29832600000000004
2015-03-27,0.289565
2015-03-30,0.273161
2015-03-31,0.26393
2015-04-01,0.236727
2015-04-02,0.262803
2015-04-07,0.269269
2015-04-08,0.255525
2015-04-09,0.23759
2015-04-10,0.235907
2015-04-13,0.226723
2015-04-14,0.210035
2015-04-15,0.173189
2015-04-16,0.15323399999999998
2015-04-17,0.13766199999999998
2015-04-20,0.134185
2015-04-21,0.162676
2015-04-22,0.20010799999999998
2015-04-23,0.22489
2015-04-24,0.22745300000000002
2015-04-27,0.23375900000000002
2015-04-28,0.22189699999999998
2015-04-29,0.324889
2015-04-30,0.416846
2015-05-04,0.481695
2015-05-05,0.540274
2015-05-06,0.628512
2015-05-07,0.656926
2015-05-08,0.621843
2015-05-11,0.656877
2015-05-12,0.774014
2015-05-13,0.738179
2015-05-14,0.790024
2015-05-15,0.737627
2015-05-18,0.746218
2015-05-19,0.708658
2015-05-20,0.700453
2015-05-21,0.724828
2015-05-22,0.708951
2015-05-25,0.708476
2015-05-26,0.677674
2015-05-27,0.659333
2015-05-28,0.628073
2015-05-29,0.609009
2015-06-01,0.592291
2015-06-02,0.753046
2015-06-03,0.93055
2015-06-04,0.927183
2015-06-05,0.9540350000000001
2015-06-08,0.9767110000000001
2015-06-09,1.056273
2015-06-10,1.075466
2015-06-11,1.016462
2015-06-12,0.9819100000000001
2015-06-15,0.9451379999999999
2015-06-16,0.960975
2015-06-17,0.960945
2015-06-18,0.9433010000000001
2015-06-19,0.9138719999999999
2015-06-22,1.02473
2015-06-23,1.0270299999999999
2015-06-24,0.96825
2015-06-25,1.003144
2015-06-26,1.072826
2015-06-29,0.986158
2015-06-30,0.9528409999999999
2015-07-01,1.011664
2015-07-02,1.038621
2015-07-03,0.9917969999999999
2015-07-06,0.943953
2015-07-07,0.8362040000000001
2015-07-08,0.8401049999999999
2015-07-09,0.882676
2015-07-10,1.038098
2015-07-13,1.033385
2015-07-14,1.000934
2015-07-15,0.9197540000000001
2015-07-16,0.9492209999999999
2015-07-17,0.861389
2015-07-20,0.832493
2015-07-21,0.854151
2015-07-22,0.832393
2015-07-23,0.8257690000000001
2015-07-24,0.7743180000000001
2015-07-27,0.751779
2015-07-28,0.782165
2015-07-29,0.784903
2015-07-30,0.742441
2015-07-31,0.728639
2015-08-03,0.699712
2015-08-04,0.722386
2015-08-05,0.8249
2015-08-06,0.795606
2015-08-07,0.750347
2015-08-10,0.7576350000000001
2015-08-11,0.70855
2015-08-12,0.694132
2015-08-13,0.718213
2015-08-14,0.730097
2015-08-17,0.704745
2015-08-18,0.72638
2015-08-19,0.7406550000000001
2015-08-20,0.66927
2015-08-21,0.680354
2015-08-24,0.6372869999999999
2015-08-25,0.812543
2015-08-26,0.808759
2015-08-27,0.828685
2015-08-28,0.7892680000000001
2015-08-31,0.8200569999999999
2015-09-01,0.898658
2015-09-02,0.900774
2015-09-03,0.8417040000000001
2015-09-04,0.77923
2015-09-07,0.762572
2015-09-08,0.774652
2015-09-09,0.812987
2015-09-10,0.784042
2015-09-11,0.760263
2015-09-14,0.738626
2015-09-15,0.81915
2015-09-16,0.859217
2015-09-17,0.872245
2015-09-18,0.739905
2015-09-21,0.776373
2015-09-22,0.71316
2015-09-23,0.70216
2015-09-24,0.672085
2015-09-25,0.749857
2015-09-28,0.7088909999999999
2015-09-29,0.698459
2015-09-30,0.703349
2015-10-01,0.650413
2015-10-02,0.591074
2015-10-05,0.653672
2015-10-06,0.71864
2015-10-07,0.711642
2015-10-08,0.6814439999999999
2015-10-09,0.71107
2015-10-12,0.6773399999999999
2015-10-13,0.691637
2015-10-14,0.658745
2015-10-15,0.651932
2015-10-16,0.654291
2015-10-19,0.66665
2015-10-20,0.733099
2015-10-21,0.686198
2015-10-22,0.576973
2015-10-23,0.610697
2015-10-26,0.59575
2015-10-27,0.548717
2015-10-28,0.567804
2015-10-29,0.607062
2015-10-30,0.629988
2015-11-02,0.672168
2015-11-03,0.673219
2015-11-04,0.675918
2015-11-05,0.708684
2015-11-06,0.782245
2015-11-09,0.80001
2015-11-10,0.7558279999999999
2015-11-11,0.736979
2015-11-12,0.725572
2015-11-13,0.666982
2015-11-16,0.648388
2015-11-17,0.649764
2015-11-18,0.635971
2015-11-19,0.5950529999999999
2015-11-20,0.576551
2015-11-23,0.629216
2015-11-24,0.614693
2015-11-25,0.572968
2015-11-26,0.583079
2015-11-27,0.555557
2015-11-30,0.580391
2015-12-01,0.585018
2015-12-02,0.584745
2015-12-03,0.709515
2015-12-04,0.788763
2015-12-07,0.713062
2015-12-08,0.6867989999999999
2015-12-09,0.696485
2015-12-10,0.692186
2015-12-11,0.6450130000000001
2015-12-14,0.687348
2015-12-15,0.766645
2015-12-16,0.778075
2015-12-17,0.731707
2015-12-18,0.6732229999999999
2015-12-21,0.668759
2015-12-22,0.7057220000000001
2015-12-23,0.753329
2015-12-28,0.736978
2015-12-29,0.768795
2015-12-30,0.7689699999999999
2016-01-04,0.702713
2016-01-05,0.696444
2016-01-06,0.663953
2016-01-07,0.701225
2016-01-08,0.67614
2016-01-11,0.703122
2016-01-12,0.726434
2016-01-13,0.676466
2016-01-14,0.645982
2016-01-15,0.629034
2016-01-18,0.632434
2016-01-19,0.6451399999999999
2016-01-20,0.586292
2016-01-21,0.536011
2016-01-22,0.59149
2016-01-25,0.570691
2016-01-26,0.544196
2016-01-27,0.55105
2016-01-28,0.49815
2016-01-29,0.43938999999999995
2016-02-01,0.42952299999999993
2016-02-02,0.40519499999999997
2016-02-03,0.40574899999999997
2016-02-04,0.401242
2016-02-05,0.409796
2016-02-08,0.346312
2016-02-09,0.359516
2016-02-10,0.358189
2016-02-11,0.310798
2016-02-12,0.335971
2016-02-15,0.361146
2016-02-16,0.385287
2016-02-17,0.377116
2016-02-18,0.332321
2016-02-19,0.29888000000000003
2016-02-22,0.293124
2016-02-23,0.32482
2016-02-24,0.24212600000000004
2016-02-25,0.258033
2016-02-26,0.25714899999999996
2016-02-29,0.21882800000000002
2016-03-01,0.252332
2016-03-02,0.30859899999999996
2016-03-03,0.31064200000000003
2016-03-04,0.32664699999999997
2016-03-07,0.328901
2016-03-08,0.289074
2016-03-09,0.34439000000000003
2016-03-10,0.321002
2016-03-11,0.369672
2016-03-14,0.356741
2016-03-15,0.405931
2016-03-16,0.37650100000000003
2016-03-17,0.332522
2016-03-18,0.302116
2016-03-21,0.321816
2016-03-22,0.319251
2016-03-23,0.331572
2016-03-24,0.286489
2016-03-29,0.248642
2016-03-30,0.266185
2016-03-31,0.262592
2016-04-01,0.225442
2016-04-04,0.226647
2016-04-05,0.182375
2016-04-06,0.209669
2016-04-07,0.18575
2016-04-08,0.195364
2016-04-11,0.233862
2016-04-12,0.200908
2016-04-13,0.203506
2016-04-14,0.205326
2016-04-15,0.185694
2016-04-18,0.201526
2016-04-19,0.228404
2016-04-20,0.201025
2016-04-21,0.26050999999999996
2016-04-22,0.28849400000000003
2016-04-25,0.327169
2016-04-26,0.34531999999999996
2016-04-27,0.35678000000000004
2016-04-28,0.318318
2016-04-29,0.343195
2016-05-02,0.328669
2016-05-03,0.253946
2016-05-04,0.277075
2016-05-05,0.241569
2016-05-06,0.22068400000000002
2016-05-09,0.197204
2016-05-10,0.17202699999999999
2016-05-11,0.169889
2016-05-12,0.196965
2016-05-13,0.190387
2016-05-16,0.200719
2016-05-17,0.18679500000000002
2016-05-18,0.23441900000000002
2016-05-19,0.208821
2016-05-20,0.228127
2016-05-23,0.22858699999999998
2016-05-24,0.2223
2016-05-25,0.203604
2016-05-26,0.198924
2016-05-27,0.17085999999999998
2016-05-30,0.22363400000000003
2016-05-31,0.222408
2016-06-01,0.175503
